mother,stepdaughter,category_for_map,,name,place,,country,address,Latitude,Longitude
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Святого Альбана в Лутоні,Лутон,http://www.sourozh.org/,Великобританія,"Buckle Close, Luton LU3 3RT",51.9172025,-0.4519791
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Святих Антонія та Іллі у Тотнесі,Тотнес,http://www.sourozh.org/,Великобританія,"5 Priory Drive, Totnes, Devon, TQ9 5HU",50.4332439,-3.6868465
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Святого Катберта в Труро,Труро,http://www.sourozh.org/,Великобританія,"23 The Coombe, Newlyn, Penzance TR18 5HR",50.1070609,-5.5515662
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Святого Давида Уельського в Дербі,Дербі,http://www.sourozh.org/,Великобританія,"St. Mary's Bridge, Derby DE1 3AT",52.92713,-1.4751198
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,"Парафія Святого Едуарда, короля і мученика в Уїмборні",Уїмборн,http://www.sourozh.org/,Великобританія,"Church St., Shapwick, Dorset, DT11 9LA",50.8145884,-2.0898159
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія преподобного Єфрема Сиріна в Кембриджі,Кембрідж,http://www.sourozh.org/,Великобританія,"Bridge Street, Cambridge, CB2 1UF",52.2091576,0.1176217
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія святого Фініана Клонарського в Белфасті,Белфаст,http://www.sourozh.org/,Великобританія,"105 High St, Belfast, BT1 2AG, UK",54.5999382,-5.924929
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Святого Георгія Побідоносця в Ньюкасл-апон-Тайн,Ньюкасл-апон-Тайн,http://www.sourozh.org/,Великобританія,"Jesmond Road, Newcastleupon Tyne, NE2 1NL",54.9844632,-1.599233
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Святого Кентігера в Глазго,Глазго,http://www.sourozh.org/,Великобританія,"866 Govan Road, Glasgow G51 3UU",55.8646469,-4.3130171
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Святого Махара Абердинського в Абердині,Абердин,http://www.sourozh.org/,Великобританія,"College Bounds, Old Aberdeen, AB24 3EE",57.1639872,-2.1020223
